country,year,NY.GDP.MKTP.CD,gdp
United States,2024,28750956130731.2,28.7509561307312
United States,2023,27292170793214.4,27.2921707932144
United States,2022,25604848907611.0,25.604848907611
United States,2021,23315080560000.0,23.31508056
United States,2020,21060473613000.0,21.060473613
United States,2019,21380976119000.0,21.380976119
United States,2018,20533057312000.0,20.533057312
United States,2017,19477336549000.0,19.477336549
United States,2016,18695110842000.0,18.695110842
United States,2015,18206020741000.0,18.206020741
United States,2014,17550680174000.0,17.550680174
United States,2013,16843190993000.0,16.843190993
United States,2012,16253972230000.0,16.25397223
United States,2011,15599728123000.0,15.599728123
United States,2010,15048964444000.0,15.048964444
United States,2009,14478064934000.0,14.478064934
United States,2008,14769857911000.0,14.769857911
United States,2007,14474226905000.0,14.474226905
United States,2006,13815586948000.0,13.815586948
United States,2005,13039199193000.0,13.039199193
United States,2004,12217193198000.0,12.217193198
United States,2003,11456442041000.0,11.456442041
United States,2002,10929112955000.0,10.929112955
United States,2001,10581929774000.0,10.581929774
United States,2000,10250947997000.0,10.250947997
United States,1999,9631174489000.0,9.631174489
United States,1998,9062818202000.0,9.062818202
United States,1997,8577554457000.0,8.577554457
United States,1996,8073122000000.0,8.073122
United States,1995,7639749000000.0,7.639749
United States,1994,7287236000000.0,7.287236
United States,1993,6858559000000.0,6.858559
United States,1992,6520327000000.0,6.520327
United States,1991,6158129000000.0,6.158129
United States,1990,5963144000000.0,5.963144
United States,1989,5641580000000.0,5.64158
United States,1988,5236438000000.0,5.236438
United States,1987,4855215000000.0,4.855215
United States,1986,4579631000000.0,4.579631
United States,1985,4338979000000.0,4.338979
United States,1984,4037613000000.0,4.037613
United States,1983,3634038000000.0,3.634038
United States,1982,3343789000000.0,3.343789
United States,1981,3207041000000.0,3.207041
United States,1980,2857307000000.0,2.857307
United States,1979,2627333000000.0,2.627333
United States,1978,2351599000000.0,2.351599
United States,1977,2081826000000.0,2.081826
United States,1976,1873412000000.0,1.873412
United States,1975,1684904000000.0,1.684904
United States,1974,1545243000000.0,1.545243
United States,1973,1425376000000.0,1.425376
United States,1972,1279110000000.0,1.27911
United States,1971,1164850000000.0,1.16485
United States,1970,1073303000000.0,1.073303
United States,1969,1017438172413.79,1.01743817241379
United States,1968,940225000000.0,0.940225
United States,1967,859620034482.759,0.859620034482759
United States,1966,813032758620.69,0.8130327586206899
United States,1965,741904862068.965,0.741904862068965
United States,1964,684144620689.655,0.684144620689655
United States,1963,637058551724.138,0.637058551724138
United States,1962,603639413793.103,0.603639413793103
United States,1961,561940310344.828,0.561940310344828
United States,1960,541988586206.897,0.5419885862068969
