DATE,us_cn_exchange,us_cn_exchange_Ret
1981-01-02,1.5341,0.0
1981-01-05,1.5418,0.5
1981-01-06,1.5264,-1.0
1981-01-07,1.5264,0.0
1981-01-08,1.5264,0.0
1981-01-09,1.5371,0.7
1981-01-12,1.5371,0.0
1981-01-13,1.5449,0.51
1981-01-14,1.5449,0.0
1981-01-15,1.5449,0.0
1981-01-16,1.5557,0.7
1981-01-19,1.5557,0.0
1981-01-20,1.5557,0.0
1981-01-21,1.5557,0.0
1981-01-22,1.551,-0.3
1981-01-23,1.551,0.0
1981-01-26,1.5634,0.8
1981-01-27,1.5759,0.8
1981-01-28,1.5822,0.4
1981-01-29,1.5886,0.4
1981-01-30,1.5886,0.0
1981-02-02,1.6108,1.4
1981-02-03,1.6108,0.0
1981-02-04,1.6028,-0.5
1981-02-05,1.6028,0.0
1981-02-06,1.6028,0.0
1981-02-09,1.6059,0.19
1981-02-10,1.6059,0.0
1981-02-11,1.6059,0.0
1981-02-12,,0.0
1981-02-13,1.6285,1.41
1981-02-16,,0.0
1981-02-17,1.6579,1.81
1981-02-18,1.6298,-1.69
1981-02-19,1.6298,0.0
1981-02-20,1.6021,-1.7
1981-02-23,1.5909,-0.7
1981-02-24,1.6099,1.19
1981-02-25,1.6035,-0.4
1981-02-26,1.6179,0.9
1981-02-27,1.6179,0.0
1981-03-02,1.6293,0.7
1981-03-03,1.6456,1.0
1981-03-04,1.6374,-0.5
1981-03-05,1.6456,0.5
1981-03-06,1.6456,0.0
1981-03-09,1.6456,0.0
1981-03-10,1.6407,-0.3
1981-03-11,1.6407,0.0
1981-03-12,1.6407,0.0
1981-03-13,1.6407,0.0
1981-03-16,1.6402,-0.03
1981-03-17,1.6309,-0.57
1981-03-18,1.6227,-0.5
1981-03-19,1.6049,-1.1
1981-03-20,1.6129,0.5
1981-03-23,1.6129,0.0
1981-03-24,1.6209,0.5
1981-03-25,1.6209,0.0
1981-03-26,1.6209,0.0
1981-03-27,1.6372,1.01
1981-03-30,1.6372,0.0
1981-03-31,1.6165,-1.26
1981-04-01,1.6337,1.06
1981-04-02,1.6337,0.0
1981-04-03,1.6418,0.5
1981-04-06,1.65,0.5
1981-04-07,1.6599,0.6
1981-04-08,1.6483,-0.7
1981-04-09,1.6483,0.0
1981-04-10,1.6565,0.5
1981-04-13,1.6565,0.0
1981-04-14,1.6682,0.71
1981-04-15,1.6682,0.0
1981-04-16,1.6798,0.7
1981-04-17,1.6798,0.0
1981-04-20,1.6798,0.0
1981-04-21,1.6798,0.0
1981-04-22,1.6798,0.0
1981-04-23,1.6798,0.0
1981-04-24,1.6798,0.0
1981-04-27,1.6798,0.0
1981-04-28,1.6798,0.0
1981-04-29,1.6798,0.0
1981-04-30,1.6882,0.5
1981-05-01,1.6882,0.0
1981-05-04,1.6882,0.0
1981-05-05,1.7085,1.2
1981-05-06,1.717,0.5
1981-05-07,1.717,0.0
1981-05-08,1.717,0.0
1981-05-11,1.717,0.0
1981-05-12,1.7273,0.6
1981-05-13,1.7273,0.0
1981-05-14,1.7359,0.5
1981-05-15,1.7359,0.0
1981-05-18,1.7359,0.0
1981-05-19,1.7359,0.0
1981-05-20,1.7359,0.0
1981-05-21,1.7272,-0.5
1981-05-22,1.7429,0.91
1981-05-25,,0.0
1981-05-26,1.7392,-0.21
1981-05-27,1.748,0.51
1981-05-28,1.748,0.0
1981-05-29,1.748,0.0
1981-06-01,1.748,0.0
1981-06-02,1.7567,0.5
1981-06-03,1.7567,0.0
1981-06-04,1.7672,0.6
1981-06-05,1.7813,0.8
1981-06-08,1.7813,0.0
1981-06-09,1.7813,0.0
1981-06-10,1.7742,-0.4
1981-06-11,1.7813,0.4
1981-06-12,1.7724,-0.5
1981-06-15,1.7512,-1.2
1981-06-16,1.7512,0.0
1981-06-17,1.7512,0.0
1981-06-18,1.7599,0.5
1981-06-19,1.7599,0.0
1981-06-22,1.7511,-0.5
1981-06-23,1.7511,0.0
1981-06-24,1.7511,0.0
1981-06-25,1.7511,0.0
1981-06-26,1.7511,0.0
1981-06-29,1.7511,0.0
1981-06-30,1.7511,0.0
1981-07-01,1.7511,0.0
1981-07-02,1.7616,0.6
1981-07-03,1.7616,0.0
1981-07-06,1.7616,0.0
1981-07-07,1.7686,0.4
1981-07-08,1.7686,0.0
1981-07-09,1.7686,0.0
1981-07-10,1.7686,0.0
1981-07-13,1.7598,-0.5
1981-07-14,1.751,-0.5
1981-07-15,1.7598,0.5
1981-07-16,1.751,-0.5
1981-07-17,1.751,0.0
1981-07-20,1.7597,0.5
1981-07-21,1.7667,0.4
1981-07-22,1.7667,0.0
1981-07-23,1.7667,0.0
1981-07-24,1.7667,0.0
1981-07-27,1.7667,0.0
1981-07-28,1.7755,0.5
1981-07-29,1.7755,0.0
1981-07-30,1.7755,0.0
1981-07-31,1.7845,0.51
1981-08-03,1.7934,0.5
1981-08-04,1.8113,1.0
1981-08-05,1.8113,0.0
1981-08-06,1.8041,-0.4
1981-08-07,1.8149,0.6
1981-08-10,1.8367,1.2
1981-08-11,1.8367,0.0
1981-08-12,1.8092,-1.5
1981-08-13,1.8092,0.0
1981-08-14,1.8218,0.7
1981-08-17,1.8,-1.2
1981-08-18,1.8,0.0
1981-08-19,1.791,-0.5
1981-08-20,1.791,0.0
1981-08-21,1.773,-1.01
1981-08-24,1.7872,0.8
1981-08-25,1.7997,0.7
1981-08-26,1.7853,-0.8
1981-08-27,1.7853,0.0
1981-08-28,1.7727,-0.71
1981-08-31,1.7727,0.0
1981-09-01,1.7815,0.5
1981-09-02,1.7815,0.0
1981-09-03,1.7673,-0.8
1981-09-04,1.7673,0.0
1981-09-07,,0.0
1981-09-08,1.7673,0.0
1981-09-09,1.7796,0.7
1981-09-10,1.7686,-0.62
1981-09-11,1.7689,0.02
1981-09-14,1.7565,-0.7
1981-09-15,1.7319,-1.4
1981-09-16,1.7319,0.0
1981-09-17,1.7233,-0.5
1981-09-18,1.7233,0.0
1981-09-21,1.7233,0.0
1981-09-22,1.7181,-0.3
1981-09-23,1.7404,1.3
1981-09-24,1.7492,0.51
1981-09-25,1.7579,0.5
1981-09-28,1.7667,0.5
1981-09-29,1.7614,-0.3
1981-09-30,1.7719,0.6
1981-10-01,1.7719,0.0
1981-10-02,1.7719,0.0
1981-10-05,1.7525,-1.09
1981-10-06,1.7525,0.0
1981-10-07,1.7507,-0.1
1981-10-08,1.7366,-0.81
1981-10-09,1.7297,-0.4
1981-10-12,,0.0
1981-10-13,1.7297,0.0
1981-10-14,1.7383,0.5
1981-10-15,1.7383,0.0
1981-10-16,1.7506,0.71
1981-10-19,1.7505,-0.01
1981-10-20,1.7505,0.0
1981-10-21,1.7575,0.4
1981-10-22,1.768,0.6
1981-10-23,1.768,0.0
1981-10-26,1.768,0.0
1981-10-27,1.7857,1.0
1981-10-28,1.7857,0.0
1981-10-29,1.7857,0.0
1981-10-30,1.7678,-1.0
1981-11-02,1.7502,-1.0
1981-11-03,,0.0
1981-11-04,1.7502,0.0
1981-11-05,1.7502,0.0
1981-11-06,1.7502,0.0
1981-11-09,1.7414,-0.5
1981-11-10,1.7414,0.0
1981-11-11,,0.0
1981-11-12,1.7484,0.4
1981-11-13,1.7343,-0.81
1981-11-16,1.7343,0.0
1981-11-17,1.743,0.5
1981-11-18,1.743,0.0
1981-11-19,1.7326,-0.6
1981-11-20,1.743,0.6
1981-11-23,1.743,0.0
1981-11-24,1.743,0.0
1981-11-25,1.743,0.0
1981-11-26,,0.0
1981-11-27,1.7274,-0.9
1981-11-30,1.7171,-0.6
1981-12-01,1.7171,0.0
1981-12-02,1.724,0.4
1981-12-03,1.724,0.0
1981-12-04,1.724,0.0
1981-12-07,1.724,0.0
1981-12-08,1.724,0.0
1981-12-09,1.736,0.7
1981-12-10,1.736,0.0
1981-12-11,1.736,0.0
1981-12-14,1.7517,0.9
1981-12-15,1.7517,0.0
1981-12-16,1.7429,-0.5
1981-12-17,1.7429,0.0
1981-12-18,1.7429,0.0
1981-12-21,1.7569,0.8
1981-12-22,1.7569,0.0
1981-12-23,1.7499,-0.4
1981-12-24,1.7499,0.0
1981-12-25,,0.0
1981-12-28,1.7499,0.0
1981-12-29,1.7499,0.0
1981-12-30,1.7499,0.0
1981-12-31,1.7499,0.0
1982-01-01,,0.0
1982-01-04,1.7499,0.0
1982-01-05,1.7393,-0.61
1982-01-06,1.7481,0.51
1982-01-07,1.7481,0.0
1982-01-08,1.7481,0.0
1982-01-11,1.7481,0.0
